Id Nom Type Destructible Matiere Texture
0 blue-blocl-break 0 t m blue-block-break.png
1 teleporter 4 f p antik-block.png 4
2 black-block 0 f m black-block.png
3 block-levierF 2 f m block-levier.png
4 stone-block-break 0 t p stone-block-break.png
5 block-piston 5 f m block-piston.png
6 wood-3-plank 0 f b wood-3-plank.png
7 wood-2-plank 0 f b wood-2-plank.png
8 wood-1-plank 0 f b wood-1-plank.png
9 white-block 0 f m white-block.png
10 water 7 f m water.png
11 water-lily 7 f m water-lily.png
12 water-bridge-right 0 f m water-bridge-right.png
13 blue-block-club 0 f m blue-block-club.png
14 blue-block-column 0 f m blue-block-column.png
15 blue-block-glass 0 f m blue-block-glass.png
16 blue-block-slab 0 f m blue-block-slab.png
17 blue-block-stripes 0 f m blue-block-stripes.png
18 blue-block 0 f m blue-block.png
19 blue-fence-corner-bottom 0 f m blue-fence-corner-bottom.png
20 blue-fence-corner-left 0 f m blue-fence-corner-left.png
21 blue-fence-corner-right 0 f m blue-fence-corner-right.png
22 blue-fence-corner-top 0 f m blue-fence-corner-top.png
23 blue-fence-left 0 f m blue-fence-left.png
24 blue-fence-right 0 f m blue-fence-right.png
25 blue-holder-rope-1 0 f m blue-holder-rope-1.png
26 blue-holder-rope-2 0 f m blue-holder-rope-2.png
27 blue-holder-rope-3 0 f m blue-holder-rope-3.png
28 blue-holder 0 f m blue-holder.png
29 blue-stairs-left 8 f m blue-stairs-left.png
30 blue-stairs-right 8 f m blue-stairs-right.png
31 bridge-left 0 f m bridge-left.png
32 bridge-right 0 f m bridge-right.png
33 brown-block 0 f m brown-block.png
34 crate-metal 1 f m crate-metal.png
35 crate-wood 1 f b crate-wood.png
36 player-enemy 6 f p enemy.png
37 fire 0 f f fire.png 3
38 water-bridge-left 0 f m water-bridge-left.png
39 water-blue-holder 0 f m water-blue-holder.png
40 glass-stained 0 f m glass-stained.png
41 grass-block 0 f t grass-block..png
42 green-block 0 f m green-block.png
43 ice-block 1 f g ice-block.png
44 lava 7 f m lava.png
45 table 1 f b table.png
46 pot-flower 1 f b pot-flower.png
47 pot-small 1 f b pot-small.png
48 pot 1 f b pot.png
49 purple-block 0 f m purple-block.png
50 red-block 0 f m red-block.png
51 shelve-books-1 0 f b shelve-books-1.png
52 shelve-books-2 0 f b shelve-books-2.png
53 shelve 0 f b shelve.png
54 snow-block 0 f g snow-block.png
55 spikes-ice-top 7 f g spikes-ice-top.png
56 spikes-ice 7 f g spikes-ice.png
57 spikes 7 f m spikes.png
58 stone-block-frame 0 f p stone-block-frame.png
59 stone-block-moss 0 f p stone-block-moss.png
60 stone-block-slab 0 f p stone-block-slab.png
61 stone-block 0 f p stone-block.png
62 table-covered 1 t b table-covered.png
63 glass-stained-2 0 f m glass-stained-2.png
64 glass-stained-3 0 f m glass-stained-3.png
65 glass-stained-4 0 f m glass-stained-4.png
66 hedge 0 f t hedge.png
67 table-plate 0 f b table-plate.png
68 tnt 9 f b tnt.png 2
69 pressure-plate 3 f m pressure-plate.png
70 red-carpet 0 f p red-carpet-block.png
71 red-golden-carpet 0 f p red-golden-carpet-block.png
72 sand-block 0 f p sand-block.png
73 piston0 0 f m block-piston0.png
74 piston1 0 f m block-piston1.png
75 piston2 0 f m block-piston2.png
76 piston3 0 f m block-piston3.png
77 piston4 0 f m block-piston4.png
78 piston5 0 f m block-piston5.png
79 dirt-block 0 f p dirt-block.png
80 bird 0 f p bird.png 4
81 wood 0 f b wood.png
82 leaves 0 f b leaves.png
83 water-base 7 f e water-base.png 2
84 water-fall 7 f e water-fall.png 3
85 water-moving 7 f e water-moving.png 3
